역코드,역종류,역명,승무소속(주요),승무소속(부), 상_하행별 정보(km),상행키로,하행키로,정차시간,상행시간,하행시간,회차여부,표준구배(오르막),표준구배(내리막),최고속도(상행),최고속도(하행),평균속도,회차키로,측선여부,승무교대여부,가동여부
312,일반역,칠곡경대병원,경전철검사,경전철검사,0.363,0,0.8,00:00:00,00:00:00,00:01:10,Y,5,32,0,0,36,0,N,Y,Y
313,일반역,학정,경전철검사,경전철검사,1.127,0.8,0.8,00:00:25,00:01:10,00:01:10,N,2,16,0,0,38.4,0,N,N,Y
314,일반역,팔거,경전철검사,경전철검사,1.962,0.8,0.7,00:00:25,00:01:10,00:01:05,N,0,9,0,0,36,0,N,N,Y
315,일반역,동천,경전철검사,경전철검사,2.692,0.7,0.7,00:00:25,00:01:05,00:01:05,N,0,10,0,0,36,0,N,N,Y
316,일반역,칠곡운암,경전철검사,경전철검사,3.42,0.7,0.7,00:00:25,00:01:05,00:01:05,N,0,4,0,0,33.6,0,N,N,Y
317,일반역,구암,경전철검사,경전철검사,4.156,0.7,0.7,00:00:25,00:01:05,00:01:05,N,5,10,0,0,36,0,N,N,Y
318,일반역,태전,경전철검사,경전철검사,4.881,0.7,0.9,00:00:25,00:01:05,00:01:25,N,0,13,0,0,40.5,0,N,N,Y
319,일반역,매천,경전철검사,경전철검사,5.801,0.9,1.1,00:00:25,00:01:25,00:01:40,N,12,15,0,0,46.6,0,N,N,Y
320,일반역,매천시장,경전철검사,경전철검사,6.865,1.1,0.8,00:00:25,00:01:40,00:01:10,N,30,23,0,0,38.4,0,N,N,Y
321,일반역,팔달,경전철검사,경전철검사,7.659,0.8,0.9,00:00:25,00:01:10,00:01:20,N,0,11,0,0,38.1,0,N,N,Y
322,일반역,공단,경전철검사,경전철검사,8.587,0.9,0.7,00:00:25,00:01:20,00:01:15,N,14,12,0,0,36,0,N,N,Y
323,일반역,만평,경전철검사,경전철검사,9.325,0.7,0.6,00:00:25,00:01:15,00:01:00,N,20,0,0,0,33.2,0,N,N,Y
324,일반역,팔달시장,경전철검사,경전철검사,9.956,0.6,0.6,00:00:25,00:01:10,00:01:00,N,24,26,0,0,33.2,0,N,N,Y
325,일반역,원대,경전철검사,경전철검사,10.546,0.6,0.9,00:00:25,00:01:00,00:01:25,N,16,6,0,0,40.5,0,N,N,Y
326,일반역,북구청,범물검사,범물검사,11.412,0.9,0.9,00:00:25,00:01:25,00:01:10,Y,12,0,0,0,45,0,N,Y,Y
327,일반역,달성공원,범물검사,범물검사,12.363,0.9,0.7,00:00:25,00:01:35,00:01:00,Y,7,0,0,0,36,0,N,Y,Y
328,일반역,서문시장,범물검사,범물검사,13.033,0.7,0.6,00:00:25,00:01:00,00:01:00,N,15,0,0,0,33.2,0,N,N,Y
329,일반역,청라언덕3,범물검사,범물검사,13.642,0.6,0.9,00:00:25,00:01:00,00:01:10,N,24,13,0,0,40.5,0,N,N,Y
330,일반역,남산,범물검사,범물검사,14.505,0.9,0.6,00:00:25,00:01:35,00:01:20,N,9,28,0,0,33.2,0,N,N,Y
331,일반역,명덕3,범물검사,범물검사,15.108,0.6,0.9,00:00:25,00:01:20,00:01:10,N,3,0,0,0,40.5,0,N,N,Y
332,일반역,건들바위,범물검사,범물검사,16.004,0.9,0.6,00:00:25,00:01:35,00:01:00,N,23,10,0,0,33.2,0,N,N,Y
333,일반역,대봉교,범물검사,범물검사,16.612,0.6,0.9,00:00:25,00:01:00,00:01:15,N,16,20,0,0,40.5,0,N,N,Y
334,일반역,수성시장,범물검사,범물검사,17.488,0.9,1,00:00:25,00:01:15,00:01:35,N,24,17,0,0,45,0,N,N,Y
335,일반역,수성구민운동장,범물검사,범물검사,18.442,1,0.8,00:00:25,00:01:35,00:01:10,N,0,0,0,0,38.4,0,N,N,Y
336,일반역,어린이세상,범물검사,범물검사,19.257,0.8,0.7,00:00:25,00:01:10,00:01:00,N,18,0,0,0,36,0,N,N,Y
337,일반역,황금,범물검사,범물검사,19.932,0.7,0.9,00:00:25,00:01:00,00:01:15,N,16,0,0,0,40.5,0,N,N,Y
338,일반역,수성못,범물검사,범물검사,20.793,0.9,1.1,00:00:25,00:01:15,00:01:45,N,19,0,0,0,46.9,0,N,N,Y
339,일반역,지산,범물검사,범물검사,21.919,1.1,0.9,00:00:25,00:01:45,00:01:15,N,30,0,0,0,40.5,0,N,N,Y
340,일반역,범물,범물검사,범물검사,22.807,0.9,0.7,00:00:25,00:01:15,00:01:25,N,38,0,0,0,31.5,0,N,N,Y
341,일반역,용지,범물검사,범물검사,23.482,0.7,0,00:00:25,00:01:25,00:00:00,Y,0,44,0,0,0,0,N,Y,Y
